structure,family,split,ops,n_ops,levels,n_levels,n_pairs
hfo2_Int-Metal.png,hfo2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
hfo2_Vacancy-Anion-03.png,hfo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
hfo2_Vacancy-Metal.png,hfo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
irte2_Defect-Free.png,irte2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
irte2_Vacancy-Anion-03.png,irte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
irte2_Vacancy-Metal.png,irte2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mno2_Defect-Free.png,mno2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mno2_Int-Anion.png,mno2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mno2_Vacancy-Anion-03.png,mno2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mno2_Vacancy-Metal.png,mno2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mns2_Defect-Free.png,mns2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mns2_Int-Anion.png,mns2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mns2_Int-Metal.png,mns2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mns2_Vacancy-Anion-03.png,mns2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mns2_Vacancy-Metal.png,mns2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnse2-A_Defect-Free.png,mnse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnse2-A_Vacancy-Anion-03.png,mnse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnse2-A_Vacancy-Metal.png,mnse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnse2-B_Defect-Free.png,mnse2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnse2-B_Vacancy-Anion-03.png,mnse2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnse2-B_Vacancy-Metal.png,mnse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnte2_Defect-Free.png,mnte2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnte2_Vacancy-Anion-03.png,mnte2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mnte2_Vacancy-Metal.png,mnte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Adatom-K.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Adatom-Li.png,mos2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Adatom-Na.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Anti-2M.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Anti-Anion.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Anti-Metal.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Defect-Free.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Doped-K.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Doped-Li.png,mos2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Doped-Na.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Ti_adatom.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Ti_doped.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_V_adatom.png,mos2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_V_doped.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Vacancy-Anion-03.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Vacancy-Anion-06A.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Vacancy-Anion-06B.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-A_Vacancy-Metal.png,mos2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Adatom-K.png,mos2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Adatom-Li.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Adatom-Na.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Anti-2M.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Anti-Anion.png,mos2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Anti-Metal.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Defect-Free.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Doped-K.png,mos2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Doped-Li.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Doped-Na.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Ti_adatom.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Ti_doped.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_V_adatom.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_V_doped.png,mos2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Vacancy-Anion-03.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Vacancy-Anion-06A.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Vacancy-Anion-06B.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mos2-B_Vacancy-Metal.png,mos2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Adatom-K.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Adatom-Li.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Adatom-Na.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Anti-2M.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Anti-Anion.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Anti-Metal.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Defect-Free.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Doped-K.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Doped-Li.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Doped-Na.png,mose2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Ti_adatom.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Ti_doped.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_V_adatom.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_V_doped.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Vacancy-Anion-03.png,mose2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Vacancy-Anion-06A.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Vacancy-Anion-06B.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-A_Vacancy-Metal.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Adatom-K.png,mose2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Adatom-Li.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Adatom-Na.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Anti-2M.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Anti-Anion.png,mose2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Anti-Metal.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Defect-Free.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Doped-K.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Doped-Li.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Doped-Na.png,mose2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Ti_adatom.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Ti_doped.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_V_adatom.png,mose2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_V_doped.png,mose2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Vacancy-Anion-03.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Vacancy-Anion-06A.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Vacancy-Anion-06B.png,mose2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mose2-B_Vacancy-Metal.png,mose2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Adatom-K.png,mote2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Adatom-Li.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Adatom-Na.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Anti-2M.png,mote2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Anti-Anion.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Anti-Metal.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Defect-Free.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Doped-K.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Doped-Li.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Doped-Na.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Ti_adatom.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Ti_doped.png,mote2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_V_adatom.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_V_doped.png,mote2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Vacancy-Anion-03.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Vacancy-Anion-06A.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Vacancy-Anion-06B.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-A_Vacancy-Metal.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Adatom-K.png,mote2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Adatom-Li.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Adatom-Na.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Anti-2M.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Anti-Anion.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Anti-Metal.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Defect-Free.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Doped-K.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Doped-Li.png,mote2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Doped-Na.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Ti_adatom.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Ti_doped.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_V_adatom.png,mote2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_V_doped.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Vacancy-Anion-03.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Vacancy-Anion-06A.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Vacancy-Anion-06B.png,mote2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
mote2-B_Vacancy-Metal.png,mote2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbo2_Defect-Free.png,nbo2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbo2_Vacancy-Anion-03.png,nbo2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbo2_Vacancy-Metal.png,nbo2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Anti-Anion.png,nbs2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Anti-Metal.png,nbs2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Cu_adatom.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Cu_doped.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Defect-Free.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Fe_adatom.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Fe_doped.png,nbs2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_V_adatom.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_V_doped.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Anion-03.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Anion-06A.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Anion-06B.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Anion-09A.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Anion-09B.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Anion-12A.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Anion-12B.png,nbs2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbs2_Vacancy-Metal.png,nbs2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Anti-Anion.png,nbse2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Anti-Metal.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Cu_adatom.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Cu_doped.png,nbse2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Defect-Free.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Fe_adatom.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Fe_doped.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_V_adatom.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_V_doped.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Anion-03.png,nbse2,val,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Anion-06A.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Anion-06B.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Anion-09A.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Anion-09B.png,nbse2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Anion-12A.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Anion-12B.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbse2_Vacancy-Metal.png,nbse2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_Anti-Anion.png,nbte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_Anti-Metal.png,nbte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_Cu_adatom.png,nbte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_Cu_doped.png,nbte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_Defect-Free.png,nbte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_Fe_adatom.png,nbte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_Fe_doped.png,nbte2,train,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
nbte2_V_adatom.png,nbte2,test,"A,B,C",3,"1,2,4,8,12,16,20,28,36",9,27
